date,total_btc_etf_netflow,ibit_netflow,fbtc_netflow,gbtc_netflow,arkb_netflow,bitb_netflow,btco_netflow,hodl_netflow,brk_netflow,ezbc_netflow,btc_netflow
2024-01-11,655300000.0,111700000.0,227000000.0,-95100000.0,65300000.0,237900000.0,17400000.0,10600000.0,,50100000.0,
2024-01-12,203000000.0,386000000.0,195300000.0,-484100000.0,39800000.0,17400000.0,28400000.0,0.0,,0.0,
2024-01-15,0.0,,,,,,,,,,
2024-01-16,-52700000.0,212700000.0,102000000.0,-594400000.0,122300000.0,50200000.0,31900000.0,7300000.0,,0.0,
2024-01-17,453800000.0,371400000.0,358100000.0,-460600000.0,50300000.0,68200000.0,57600000.0,4800000.0,,1200000.0,
2024-01-18,-126600000.0,145500000.0,177900000.0,-582300000.0,41800000.0,20100000.0,58800000.0,2300000.0,,0.0,
2024-01-19,43600000.0,201500000.0,222300000.0,-590400000.0,62600000.0,56700000.0,63400000.0,14200000.0,,0.0,
2024-01-22,-87400000.0,260600000.00000003,158700000.0,-640500000.0,65000000.0,41600000.0,5600000.0,6800000.0,,4700000.0,
2024-01-23,-106100000.0,160100000.0,157700000.0,-515299999.99999994,61800000.0,26300000.0,0.0,2200000.0,,1100000.0,
2024-01-24,-158300000.0,66200000.0,125700000.0,-429300000.0,24900000.0,19100000.0,19900000.0,4500000.0,,1200000.0,
2024-01-25,-79800000.0,170700000.0,101000000.0,-394100000.0,16100000.000000002,20000000.0,0.0,0.0,,0.0,
2024-01-26,14800000.0,87100000.0,100100000.0,-255100000.0,46400000.0,30900000.0,0.0,2400000.0,,1200000.0,
2024-01-29,255100000.0,198400000.0,208200000.0,-191700000.0,17200000.0,20000000.0,3000000.0,0.0,,0.0,
2024-01-30,247300000.0,299200000.0,119200000.0,-220700000.0,16800000.0,21900000.0,6300000.0,0.0,,2500000.0,
2024-01-31,197600000.0,116200000.0,232000000.0,-187700000.0,14800000.0,17800000.0,1500000.0,2400000.0,,0.0,
2024-02-01,38500000.0,163900000.0,35800000.0,-182000000.0,15900000.0,4200000.0,0.0,0.0,,0.0,
2024-02-02,80000000.0,105800000.0,78900000.0,-144600000.0,22600000.0,11500000.0,0.0,2400000.0,,2500000.0,
2024-02-05,68100000.0,137300000.0,38000000.0,-107900000.0,0.0,0.0,0.0,0.0,,0.0,
2024-02-06,33600000.0,45200000.0,37700000.0,-72700000.0,8600000.0,11300000.0,0.0,2400000.0,,0.0,
2024-02-07,146000000.0,56200000.0,130100000.0,-80800000.0,3300000.0,21400000.0,8600000.0,0.0,,5100000.0,
2024-02-08,405000000.0,204100000.0,128300000.00000001,-101600000.0,86400000.0,60500000.0,13400000.0,10300000.0,,0.0,
2024-02-09,541500000.0,250700000.0,188400000.0,-51800000.0,136500000.0,29100000.0,-17400000.0,2700000.0,,1400000.0,
2024-02-12,493400000.0,374700000.0,151900000.0,-95000000.0,40000000.0,33000000.0,-20800000.0,8500000.0,,0.0,
2024-02-13,636300000.0,493100000.0,163600000.0,-72800000.0,40000000.0,10800000.0,0.0,0.0,,0.0,
2024-02-14,339700000.0,224300000.0,118900000.0,-131199999.99999999,101500000.0,47200000.0,-37500000.0,2900000.0,,9000000.0,
2024-02-15,477400000.0,330900000.0,97400000.0,-174600000.0,88900000.0,120200000.0,1300000.0,2900000.0,,3000000.0,
2024-02-16,330300000.0,191400000.0,116700000.0,-150400000.0,140000000.0,20900000.0,1000000.0,0.0,,0.0,
2024-02-19,0.0,,,,,,,,,,
2024-02-20,135600000.0,154300000.0,71700000.0,-137000000.0,27400000.0,11100000.0,0.0,5900000.0,,0.0,
2024-02-21,-35600000.0,96500000.0,52500000.0,-199300000.0,10700000.0,0.0,1000000.0,0.0,,3000000.0,
2024-02-22,251400000.0,125100000.0,158900000.0,-55700000.0,6700000.0,7900000.0,0.0,2900000.0,,0.0,
2024-02-23,232500000.0,167500000.0,52500000.0,-44200000.0,34500000.0,12000000.0,0.0,8700000.0,,1500000.0,
2024-02-26,519900000.0,111800000.0,243300000.0,-22400000.0,130600000.0,37200000.0,4400000.0,6200000.0,,7900000.0,
2024-02-27,576900000.0,520200000.00000006,126000000.0,-125600000.0,5400000.0,18400000.0,2600000.0,9700000.0,,16600000.000000002,
2024-02-28,673400000.0,612100000.0,245200000.0,-216400000.0,23800000.0,9900000.0,0.0,-3400000.0,,0.0,
2024-02-29,92300000.0,603900000.0,44800000.0,-598900000.0,9900000.0,21700000.0,-1500000.0,7000000.0,,5400000.0,
