date,total_btc_etf_netflow,ibit_netflow,etf_5d_netflow,etf_consecutive_inflow_days,etf_consecutive_outflow_days,exchange_netflow,exchange_reserve,stablecoin_supply,stablecoin_exchange_reserve,mvrv,sopr,active_addresses,tx_count
2024-01-11,655300000.0,111700000.0,655300000.0,1,0,,,,,,,,
2024-01-12,203000000.0,386000000.0,858300000.0,2,0,,,,,,,,
2024-01-15,0.0,,858300000.0,0,0,,,,,,,,
2024-01-16,-52700000.0,212700000.0,805600000.0,0,1,,,,,,,,
2024-01-17,453800000.0,371400000.0,1259400000.0,1,0,,,,,,,,
2024-01-18,-126600000.0,145500000.0,477500000.0,0,1,,,,,,,,
2024-01-19,43600000.0,201500000.0,318100000.0,1,0,,,,,,,,
2024-01-22,-87400000.0,260600000.00000003,230700000.0,0,1,,,,,,,,
2024-01-23,-106100000.0,160100000.0,177300000.0,0,2,,,,,,,,
2024-01-24,-158300000.0,66200000.0,-434800000.0,0,3,,,,,,,,
2024-01-25,-79800000.0,170700000.0,-388000000.0,0,4,,,,,,,,
2024-01-26,14800000.0,87100000.0,-416800000.0,1,0,,,,,,,,
2024-01-29,255100000.0,198400000.0,-74300000.0,2,0,,,,,,,,
2024-01-30,247300000.0,299200000.0,279100000.0,3,0,,,,,,,,
2024-01-31,197600000.0,116200000.0,635000000.0,4,0,,,,,,,,
2024-02-01,38500000.0,163900000.0,753300000.0,5,0,,,,,,,,
2024-02-02,80000000.0,105800000.0,818500000.0,6,0,,,,,,,,
2024-02-05,68100000.0,137300000.0,631500000.0,7,0,,,,,,,,
2024-02-06,33600000.0,45200000.0,417800000.0,8,0,,,,,,,,
2024-02-07,146000000.0,56200000.0,366200000.0,9,0,,,,,,,,
2024-02-08,405000000.0,204100000.0,732700000.0,10,0,,,,,,,,
2024-02-09,541500000.0,250700000.0,1194200000.0,11,0,,,,,,,,
2024-02-12,493400000.0,374700000.0,1619500000.0,12,0,,,,,,,,
2024-02-13,636300000.0,493100000.0,2222200000.0,13,0,,,,,,,,
2024-02-14,339700000.0,224300000.0,2415900000.0,14,0,,,,,,,,
2024-02-15,477400000.0,330900000.0,2488300000.0,15,0,,,,,,,,
2024-02-16,330300000.0,191400000.0,2277100000.0,16,0,,,,,,,,
2024-02-19,0.0,,1783700000.0,0,0,,,,,,,,
2024-02-20,135600000.0,154300000.0,1283000000.0,1,0,,,,,,,,
2024-02-21,-35600000.0,96500000.0,907700000.0,0,1,,,,,,,,
2024-02-22,251400000.0,125100000.0,681700000.0,1,0,,,,,,,,
2024-02-23,232500000.0,167500000.0,583900000.0,2,0,,,,,,,,
2024-02-26,519900000.0,111800000.0,1103800000.0,3,0,,,,,,,,
2024-02-27,576900000.0,520200000.00000006,1545100000.0,4,0,,,,,,,,
2024-02-28,673400000.0,612100000.0,2254100000.0,5,0,,,,,,,,
2024-02-29,92300000.0,603900000.0,2095000000.0,6,0,,,,,,,,
2024-03-01,-139600000.0,202500000.0,1722900000.0,0,1,,,,,,,,
2024-03-04,562700000.0,420100000.0,1765700000.0,1,0,,,,,,,,
2024-03-05,648300000.0,788300000.0,1837100000.0,2,0,,,,,,,,
2024-03-06,332000000.0,281700000.0,1495700000.0,3,0,,,,,,,,
2024-03-07,472500000.0,244200000.0,1875900000.0,4,0,,,,,,,,
2024-03-08,223000000.0,336300000.0,2238500000.0,5,0,,,,,,,,
2024-03-11,505400000.0,562900000.0,2181200000.0,6,0,,,,,,,,
2024-03-12,1045000000.0,849000000.0,2577900000.0,7,0,,,,,,,,
2024-03-13,683700000.0,586500000.0,2929600000.0,8,0,,,,,,,,
2024-03-14,132699999.99999999,345400000.0,2589800000.0,9,0,,,,,,,,
2024-03-15,198800000.0,139800000.0,2565600000.0,10,0,,,,,,,,
2024-03-18,-154300000.0,451500000.0,1905900000.0,0,1,,,,,,,,
2024-03-19,-326200000.0,75200000.0,534700000.0,0,2,,,,,,,,
2024-03-20,-261500000.0,49300000.0,-410500000.0,0,3,,,,,,,,
2024-03-21,-94000000.0,233400000.0,-637200000.0,0,4,,,,,,,,
2024-03-22,-51600000.0,18900000.0,-887600000.0,0,5,,,,,,,,
2024-03-25,15400000.0,35500000.0,-717900000.0,1,0,,,,,,,,
2024-03-26,418000000.0,162200000.0,26300000.0,2,0,,,,,,,,
2024-03-27,243500000.0,323800000.0,531300000.0,3,0,,,,,,,,
2024-03-28,182800000.0,95100000.0,808100000.0,4,0,,,,,,,,
2024-03-29,0.0,,859700000.0,0,0,,,,,,,,
2024-04-01,-85700000.0,165900000.0,758600000.0,0,1,,,,,,,,
2024-04-02,39500000.0,150500000.0,380100000.0,1,0,,,,,,,,
2024-04-03,113500000.0,42000000.0,250100000.0,2,0,,,,,,,,
2024-04-04,213400000.0,144000000.0,280700000.0,3,0,,,,,,,,
2024-04-05,203000000.0,308800000.0,483700000.0,4,0,,,,,,,,
2024-04-08,-223800000.0,21300000.0,345600000.0,0,1,,,,,,,,
2024-04-09,-19400000.0,128699999.99999999,286700000.0,0,2,,,,,,,,
2024-04-10,123700000.0,33299999.999999996,296900000.0,1,0,,,,,,,,
2024-04-11,91300000.0,192100000.0,174800000.0,2,0,,,,,,,,
2024-04-12,-55100000.0,111100000.0,-83300000.0,0,1,,,,,,,,
2024-04-15,-36700000.0,73400000.0,103800000.0,0,2,,,,,,,,
2024-04-16,-58000000.0,25800000.0,65200000.0,0,3,,,,,,,,
2024-04-17,-165000000.0,18100000.0,-223500000.0,0,4,,,,,,,,
2024-04-18,-4300000.0,18800000.0,-319100000.0,0,5,,,,,,,,
2024-04-19,59700000.0,29300000.0,-204300000.0,1,0,,,,,,,,
2024-04-22,62200000.0,19700000.0,-105400000.0,2,0,,,,,,,,
2024-04-23,31600000.0,37900000.0,-15800000.0,3,0,,,,,,,,
2024-04-24,-120600000.0,0.0,28600000.0,0,1,,,,,,,,
2024-04-25,-217600000.0,0.0,-184700000.0,0,2,,,,,,,,
2024-04-26,-83600000.0,0.0,-328000000.0,0,3,,,,,,,,
2024-04-29,-51600000.0,0.0,-441800000.0,0,4,,,,,,,,
2024-04-30,-161600000.0,0.0,-635000000.0,0,5,,,,,,,,
2024-05-01,-563700000.0,-36900000.0,-1078100000.0,0,6,,,,,,,,
2024-05-02,-34400000.0,0.0,-894900000.0,0,7,,,,,,,,
2024-05-03,378300000.0,12700000.0,-433000000.0,1,0,,,,,,,,
2024-05-06,217000000.0,21500000.0,-164400000.0,2,0,,,,,,,,
2024-05-07,-15700000.0,0.0,-18500000.0,0,1,,,,,,,,
2024-05-08,11500000.0,0.0,556700000.0,1,0,,,,,,,,
2024-05-09,-11300000.0,14200000.0,579800000.0,0,1,,,,,,,,
2024-05-10,-84700000.0,12400000.0,116800000.0,0,2,,,,,,,,
2024-05-13,66000000.0,0.0,-34200000.0,1,0,,,,,,,,
2024-05-14,100500000.0,0.0,82000000.0,2,0,,,,,,,,
2024-05-15,303000000.0,0.0,373500000.0,3,0,,,,,,,,
2024-05-16,257300000.0,93700000.0,642100000.0,4,0,,,,,,,,
2024-05-17,221500000.0,38100000.0,948300000.0,5,0,,,,,,,,
2024-05-20,237200000.0,66400000.00000001,1119500000.0,6,0,,,,,,,,
2024-05-21,305700000.0,290000000.0,1324700000.0,7,0,,,,,,,,
2024-05-22,154000000.0,92000000.0,1175700000.0,8,0,,,,,,,,
2024-05-23,107900000.0,89000000.0,1026300000.0,9,0,,,,,,,,
2024-05-24,251900000.0,182100000.0,1056700000.0,10,0,,,,,,,,
2024-05-27,0.0,,819500000.0,0,0,,,,,,,,
2024-05-28,45000000.0,102500000.0,558800000.0,1,0,,,,,,,,
2024-05-29,28300000.0,24600000.0,433100000.0,2,0,,,,,,,,
2024-05-30,48800000.0,1600000.0,374000000.0,3,0,,,,,,,,
2024-05-31,48800000.0,169100000.0,170900000.0,4,0,,,,,,,,
2024-06-03,105100000.0,0.0,276000000.0,5,0,,,,,,,,
2024-06-04,886600000.0,274400000.0,1117600000.0,6,0,,,,,,,,
2024-06-05,488100000.0,155400000.0,1577400000.0,7,0,,,,,,,,
2024-06-06,217700000.0,349900000.0,1746300000.0,8,0,,,,,,,,
2024-06-07,131000000.0,168300000.0,1828500000.0,9,0,,,,,,,,
2024-06-10,-64900000.00000001,6300000.0,1658500000.0,0,1,,,,,,,,
2024-06-11,-200400000.0,0.0,571500000.0,0,2,,,,,,,,
2024-06-12,100800000.0,15600000.0,184200000.0,1,0,,,,,,,,
2024-06-13,-226200000.0,18200000.0,-259700000.0,0,1,,,,,,,,
2024-06-14,-189900000.0,1500000.0,-580600000.0,0,2,,,,,,,,
2024-06-17,-145900000.0,0.0,-661600000.0,0,3,,,,,,,,
2024-06-18,-152400000.0,0.0,-613600000.0,0,4,,,,,,,,
2024-06-19,0.0,,-714400000.0,0,0,,,,,,,,
2024-06-20,-139900000.0,1500000.0,-628100000.0,0,1,,,,,,,,
2024-06-21,-105900000.0,0.0,-544100000.0,0,2,,,,,,,,
2024-06-24,-174500000.0,0.0,-572700000.0,0,3,,,,,,,,
2024-06-25,31000000.0,0.0,-389300000.0,1,0,,,,,,,,
2024-06-26,21400000.0,0.0,-367900000.0,2,0,,,,,,,,
2024-06-27,11800000.0,0.0,-216200000.0,3,0,,,,,,,,
2024-06-28,73000000.0,82400000.0,-37300000.0,4,0,,,,,,,,
2024-07-01,129500000.0,0.0,266700000.0,5,0,,,,,,,,
2024-07-02,-13700000.0,14100000.0,222000000.0,0,1,,,,,,,,
2024-07-03,-20500000.0,0.0,180100000.0,0,2,,,,,,,,
2024-07-04,0.0,,168300000.0,0,0,,,,,,,,
2024-07-05,143100000.0,0.0,238400000.0,1,0,,,,,,,,
2024-07-08,294800000.0,187200000.0,403700000.0,2,0,,,,,,,,
2024-07-09,216400000.0,121000000.0,633800000.0,3,0,,,,,,,,
2024-07-10,147400000.0,22200000.0,801700000.0,4,0,,,,,,,,
2024-07-11,78900000.0,72100000.0,880600000.0,5,0,,,,,,,,
2024-07-12,310100000.0,120000000.0,1047600000.0,6,0,,,,,,,,
2024-07-15,300900000.0,117200000.0,1053700000.0,7,0,,,,,,,,
2024-07-16,422500000.0,260200000.0,1259800000.0,8,0,,,,,,,,
2024-07-17,53300000.0,110400000.0,1165700000.0,9,0,,,,,,,,
2024-07-18,37200000.0,102700000.0,1124000000.0,10,0,,,,,,,,
2024-07-19,427200000.0,116200000.0,1241100000.0,11,0,,,,,,,,
2024-07-22,485900000.0,526700000.00000006,1426100000.0,12,0,,,,,,,,
2024-07-23,-78000000.0,71900000.0,925600000.0,0,1,,,,,,,,
2024-07-24,44500000.0,66000000.0,916800000.0,1,0,,,,,,,,
2024-07-25,31100000.0,70700000.0,910700000.0,2,0,,,,,,,,
